Title,Type,Language,Rating,Genre,Popularity,Platform,Country,Duration,Market,release_year,release_month,release_day
KPop Demon Hunters,Movie,en,8.347,"Animation, Comedy, Fantasy, Music",5.81185,Netflix,US,96.0,US,2025.0,6.0,20.0
Fall for Me,Movie,de,6.1,"Romance, Thriller",5.81185,Netflix,DE,103.0,DE,2025.0,8.0,20.0
Inspector Zende,Movie,hi,5.8,"Comedy, Drama, Thriller",5.81185,Netflix,IN,112.0,IN,2025.0,9.0,4.0
Love Untangled,Movie,ko,8.523,"Romance, Drama, Comedy",5.81185,Netflix,KR,121.0,KR,2025.0,8.0,28.0
Gold Rush Gang,Movie,th,6.9,"Action, Comedy, Drama, Western",5.81185,Netflix,TH,120.0,TH,2025.0,8.0,19.0
Maa,Movie,hi,7.1,Horror,5.81185,Netflix,IN,133.0,IN,2025.0,6.0,20.0
The Thursday Murder Club,Movie,en,6.711,"Comedy, Mystery, Crime",5.81185,Netflix,US,118.0,US,2025.0,8.0,22.0
Unknown Number: The High School Catfish,Movie,en,7.0,Documentary,5.81185,Netflix,US,94.0,US,2025.0,8.0,28.0
Ne Zha,Movie,zh,7.9,"Animation, Fantasy, Adventure",5.81185,Netflix,CN,110.0,CN,2019.0,7.0,26.0
Abandoned Man,Movie,tr,7.7,Drama,5.81185,Netflix,TR,91.0,TR,2025.0,8.0,22.0
Despicable Me 4,Movie,en,7.0,"Family, Comedy, Animation, Science Fiction",5.81185,Netflix,US,94.0,US,2024.0,6.0,20.0
Venom: The Last Dance,Movie,en,6.701,"Action, Science Fiction, Adventure",5.81185,Netflix,US,109.0,US,2024.0,10.0,22.0
365 Days: This Day,Movie,pl,5.9,"Romance, Drama",5.81185,Netflix,PL,111.0,PL,2022.0,4.0,26.0
Shrek,Movie,en,7.752,"Animation, Comedy, Fantasy, Adventure, Family",5.81185,Netflix,US,90.0,US,2001.0,5.0,18.0
My Oxford Year,Movie,en,7.1,"Romance, Comedy, Drama",5.81185,Netflix,US,113.0,US,2025.0,7.0,31.0
Night Always Comes,Movie,en,6.1,"Thriller, Drama, Crime",5.81185,Netflix,"GB, US",108.0,Global,2025.0,8.0,15.0
Happy Gilmore 2,Movie,en,6.693,Comedy,5.81185,Netflix,US,118.0,US,2025.0,7.0,25.0
Kraven the Hunter,Movie,en,6.5,"Action, Adventure, Thriller",5.81185,Netflix,US,127.0,US,2024.0,12.0,11.0
Bram Stoker's Dracula,Movie,en,7.446,"Romance, Horror",5.81185,Netflix,US,128.0,US,1992.0,11.0,13.0
The Old Guard 2,Movie,en,6.0,"Action, Fantasy",5.81185,Netflix,US,107.0,US,2025.0,7.0,1.0
The Wild Robot,Movie,en,8.314,"Animation, Science Fiction, Family",5.81185,Netflix,US,102.0,US,2024.0,9.0,12.0
Fantasy Football Ruined Our Lives,Movie,it,5.598,Comedy,5.81185,Netflix,IT,96.0,IT,2025.0,8.0,26.0
After,Movie,en,7.1,"Romance, Drama",5.81185,Netflix,US,106.0,US,2019.0,4.0,11.0
Jaws,Movie,en,7.677,"Horror, Thriller, Adventure",5.81185,Netflix,US,124.0,US,2018.0,6.0,20.0
Almost Cops,Movie,nl,5.9,"Action, Comedy, Crime, Mystery",5.81185,Netflix,NL,95.0,NL,2025.0,7.0,10.0
The Equalizer,Movie,en,7.3,"Thriller, Action, Crime",5.81185,Netflix,US,132.0,US,2014.0,9.0,24.0
Parasite,Movie,ko,8.498,"Comedy, Thriller, Drama",5.81185,Netflix,KR,133.0,KR,2019.0,5.0,30.0
Inglourious Basterds,Movie,en,8.2,"Drama, Thriller, War",5.81185,Netflix,"DE, US",153.0,Global,2009.0,8.0,2.0
Bad Boys: Ride or Die,Movie,en,7.4,"Action, Comedy, Crime, Thriller, Adventure",16.3328,Netflix,US,115.0,US,2024.0,6.0,5.0
STRAW,Movie,en,7.9,"Thriller, Drama, Crime",5.81185,Netflix,US,105.0,US,2025.0,6.0,5.0
Planet Single: Greek Adventure,Movie,pl,5.4,"Comedy, Romance",15.6907,Netflix,PL,103.0,PL,2025.0,8.0,26.0
Millionaire,Movie,es,7.9,Documentary,15.1536,Netflix,CL,96.0,CL,2025.0,8.0,22.0
American Pie,Movie,en,6.6,"Comedy, Romance",15.5128,Netflix,US,95.0,US,1999.0,7.0,9.0
Until Dawn,Movie,en,6.5,"Horror, Mystery",5.81185,Netflix,US,103.0,US,2025.0,4.0,23.0
The Next 365 Days,Movie,pl,6.4,"Romance, Drama",15.3391,Netflix,PL,112.0,PL,2022.0,8.0,18.0
The Amazing Spider-Man,Movie,en,6.721,"Action, Adventure, Science Fiction",14.8531,Netflix,US,136.0,US,2012.0,6.0,23.0
The Ice Road,Movie,en,6.8,"Action, Thriller",14.599,Netflix,"CA, US",108.0,Global,2021.0,6.0,24.0
Tehran,Movie,hi,6.1,"Action, Thriller",13.0684,Netflix,IN,116.0,IN,2025.0,8.0,14.0
Shrek 2,Movie,en,7.301,"Animation, Family, Comedy, Fantasy, Adventure",14.5721,Netflix,US,92.0,US,2004.0,5.0,19.0
The Amazing Spider-Man 2,Movie,en,6.5,"Action, Adventure, Science Fiction",15.1265,Netflix,US,141.0,US,2014.0,4.0,16.0
Transformers: Rise of the Beasts,Movie,en,7.2,"Science Fiction, Adventure, Action",12.8374,Netflix,US,127.0,US,2023.0,6.0,6.0
Mission: Impossible,Movie,en,7.01,"Adventure, Action, Thriller",13.0364,Netflix,US,110.0,US,1996.0,5.0,22.0
Furious 7,Movie,en,7.2,"Action, Crime, Thriller",13.9398,Netflix,US,139.0,US,2015.0,4.0,1.0
Anyone But You,Movie,en,6.8,"Romance, Comedy",12.9373,Netflix,US,103.0,US,2023.0,12.0,21.0
Beetlejuice Beetlejuice,Movie,en,6.984,"Horror, Comedy, Fantasy",12.528,Netflix,US,105.0,US,2024.0,9.0,4.0
K.O.,Movie,fr,6.5,"Action, Drama, Adventure",14.26,Netflix,"FR, BE",84.0,Global,2025.0,6.0,5.0
Devara: Part 1,Movie,te,7.0,"Action, Drama",13.3334,Netflix,IN,175.0,IN,2024.0,9.0,26.0
